      
      
                  abs(100-sum)
score      sum      distance     result      last_distance  
 10        10        90         10            100->90
 20        30        70         30             90->70
 30        60        40         60             70->40
 40       100         0        100             40->0
 50       150        50        100             0->0(변화X)



  90       90       10          90            100->10
   8       98        2          98             10->2
   4      102        2         102              2->2(변화O)
   1      103        3         102(변화X)       2->2(변화X)
