num[0]   num[1]   num[2]   num[3]   num[4]   num[5]   num[6]   num[7]   num[8]   num[9]
  10       20       30       40       50       60       70       80       90      100

                distance           last_distance
    sum       abs(100 -sum)      abs(100 - result)       result
     10          90                   100               0 -> 10
     30          70                    90              10 -> 30
     60          40                    70              30 -> 60
    100           0                    40              60 -> 100
    150          50                     0             100 (변화X)



     1           3              99          97
     3           6              97          94
     6          10              94          90 
    10          15              90          85
    15          21              85          79
    21          28              79          72
    28          36              72          64
    36          45              64          55
    45          55              55          45


        
